DEPT,AF20,AF30,AF60,AF90,AT10,AT20,AT30,AT60,AT90,BS,CBP1,CBP2,CBP3,CBP4,CBP5,CBP6,CBP7,CBP8,CFF2,CHI1,CHI2,CMFF,CMRP_3MS,CMRP_3MS_MW[0],DPHZ,DTCO,DTSM,DWAL_WALK2,DWCA_WALK2,DWSI_WALK2,DWSU_WALK2,DWTI_WALK2,DXFE_WALK2,GCF1,GCF2,GR_EDTC,HBHK,HCAL,HCGR,HD1_PPC1,HD1_PPC2,HD2_PPC1,HD2_PPC2,HDRA,HFK,HSGR,HTHO,HTPR,HTUR,HURA,KSDR,KTIM,MAXXENE_OVERALL,MINXENE_OVERALL,NPOR,PEFZ,PR,PXND_HILT,RDF1,RDF2,RHOZ,T2CUTOFF,T2LM,T2_DIST_MW[0],TCMR,TDEP,TENS,VPVS,PHIT_NMR,PHIE_NMR,CBW,FFI,BVIE,PHIT_CHART,RHOMAA_CHART,VSH_GR,VSH_ND,VSH_DT,VSH_HL,PHIT_USED,BVW,SWT,BVO,MSTAR_APP,MSTAR_FIT,PHIT,CBWapp,SAL,Swb,Qv,Bdacy,MSTAR,SW_CP,BVWT_CP,BVWe_CP,PHIE
10246.5,1.913,1.8596,1.7978,1.7568,1.985,1.9501,1.8838,1.8425,1.7432,8.75,0.0141,0.0212,0.0369,0.0132,0.0,0.0038,0.0008,0.0,0.0547,1.2862,1.481,0.0046,0.0547,0.0561,0.0426,68.3636,117.8182,0.042,0.1308,0.2434,0.0103,0.0081,0.0,0.9745,0.985,111.01247,0.003,8.3084,99.8816,8.832,8.7856,8.9838,9.0079,-0.0031,0.0379,117.6637,9.8293,2.596,3.9549,2.4854,0.0042,0.0019,9.0682,0.7759,0.1837,3.5002,0.2462,0.1483,1.35,1.2853,2.6371,33.0,3.9995,0.0026,0.09,1176508928.0,3727.8,1.7234,0.09,0.0547,0.0353,0.0046,0.0501,0.1219342271400448,2.845890187131387,0.6724378947368421,0.3447096774193552,0.3136228817204312,0.49303038822863665,0.1219342271400448,0.07127475812738501,0.5845344641871884,0.050659469012659795,2.2926774731213184,2.283030388228637,0.1219342271400448,0.049303038822863667,450.64158177023694,0.4043412582279935,1.6156448730010913,12.185703932274844,2.283030388228637,0.85948136611768,0.1048001961188292,0.05549715729596553,0.07263118831718113
10247.0,1.9662,1.9122,1.8492,1.7961,2.0589,2.0331,1.9867,1.9508,1.8116,8.75,0.0094,0.0175,0.0318,0.0188,0.0021,0.0037,0.0,0.0,0.0565,1.3417,1.286,0.0058,0.0565,0.0577,0.0388,66.3636,116.7273,0.0455,0.1275,0.243,0.0201,0.0097,0.0,0.9745,0.985,107.27488,0.003,8.3195,99.5271,8.8439,8.7856,8.9838,8.9948,-0.0029,0.0379,116.2421,9.7053,2.562,4.2752,2.2701,0.0052,0.0027,9.0722,0.7759,0.1726,3.4789,0.2612,0.1439,1.35,1.2853,2.6436,33.0,5.1772,0.0023,0.0834,1176509440.0,3711.2,1.7589,0.0834,0.0565,0.0269,0.0058,0.0507,0.11032791694448175,2.825578602686261,0.6687063157894737,0.3302338709677421,0.2751067526881729,0.47190653423882334,0.11032791694448175,0.06925988660065402,0.6277639288296032,0.041068030343827736,2.2061026930909846,2.2619065342388236,0.11032791694448175,0.04719065342388234,450.64158177023694,0.42773084755718904,1.7091037256715447,12.185703932274844,2.2619065342388236,0.9268248492798676,0.10225465499343106,0.05506400156954872,0.06313726352059942
10247.5,1.9886,1.9336,1.8743,1.8166,2.0764,2.0492,2.0084,1.8924,1.8025,8.75,0.0029,0.0143,0.0324,0.0221,0.0023,0.0014,0.0,0.0,0.0583,1.3355,1.4768,0.0037,0.0583,0.0583,0.0358,66.0,116.7273,0.0509,0.1363,0.2249,0.0336,0.0088,0.0,0.9745,0.985,101.75094,0.003,8.3269,99.0779,8.8454,8.7856,9.0,8.9946,-0.0018,0.0376,114.6815,9.724,2.586,4.5561,2.1343,0.0054,0.0009,9.0598,0.7819,0.173,3.4484,0.265,0.141,1.35,1.2853,2.6488,33.0,6.4237,0.0011,0.0755,1176509952.0,3732.5,1.7686,0.0755,0.0583,0.0172,0.0037,0.0546,0.11042787279230505,2.8266435646168024,0.6639778947368421,0.3379865591397854,0.27726451612903297,0.4706212054329375,0.11042787279230505,0.06944290541510299,0.6288530572866562,0.04098496737720206,2.2047238906544955,2.2606212054329378,0.11042787279230505,0.047062120543293756,450.64158177023694,0.426179725763704,1.7029058373234025,12.185703932274844,2.2606212054329378,0.927305497667484,0.10240037353603006,0.0553382529927363,0.0633657522490113
10248.0,1.9843,1.9315,1.8743,1.8163,2.059,2.0292,1.9688,1.9309,1.8467,8.75,0.0019,0.0151,0.0365,0.0203,0.0,0.004,0.0,0.0,0.0608,1.4689,1.227,0.004,0.0608,0.0612,0.0315,66.9091,116.7273,0.0503,0.154,0.2039,0.0285,0.008,0.0,0.9745,0.985,103.73385,0.003,8.3173,100.492,8.8439,8.7856,8.9967,9.0079,0.0003,0.0382,117.5872,9.8126,2.567,4.2407,2.3139,0.0063,0.0011,9.0313,0.7968,0.1709,3.3902,0.2553,0.1398,1.35,1.2853,2.6562,33.0,6.5525,0.0003,0.0778,1176510464.0,3726.3,1.7446,0.0778,0.0608,0.017,0.004,0.0568,0.1024884900136015,2.839759919484084,0.6788631578947368,0.3434583333333337,0.31837600000000055,0.4986195789473687,0.1024884900136015,0.06812813482893076,0.6647393753180412,0.03436035518467074,2.143146606314077,2.288619578947369,0.1024884900136015,0.04986195789473687,450.64158177023694,0.48651275756057655,1.9439812940364183,12.185703932274844,2.288619578947369,1.0,0.1024884900136015,0.05262653211886462,0.05262653211886462
10248.5,1.9836,1.9255,1.8737,1.8134,1.9614,1.97,1.9194,1.8961,1.8271,8.75,0.0018,0.0156,0.0397,0.0181,0.0,0.0003,0.0043,0.0,0.0624,1.2629,1.5977,0.0046,0.0624,0.0596,0.0314,68.7273,116.7273,0.0507,0.1548,0.2036,0.0361,0.0076,0.0,0.9745,0.985,106.52224,0.003,8.3261,102.9441,8.82,8.7856,8.9838,9.0081,0.0014,0.0392,118.7542,10.0458,2.5647,4.6866,2.1435,0.0074,0.0015,9.0423,0.8307,0.1694,3.3544,0.2347,0.1388,1.35,1.2853,2.6564,33.0,6.7446,0.0005,0.0797,1176510976.0,3721.8,1.6984,0.0797,0.0624,0.0173,0.0046,0.0578,0.10189660688252641,2.8387284580355363,0.7046747368421054,0.3405994623655918,0.36731724731182835,0.5226370996038485,0.10189660688252641,0.06846190327615521,0.671876182835832,0.033434703606371206,2.1330392904297715,2.3126370996038483,0.10189660688252641,0.05226370996038485,450.64158177023694,0.5129092278866375,2.04945487873694,12.185703932274844,2.3126370996038483,1.0,0.10189660688252641,0.04963289692214156,0.04963289692214156
10249.0,1.9864,1.9265,1.8823,1.8201,1.8632,1.8502,1.8109,1.7934,1.7477,8.75,0.0,0.0106,0.0409,0.0177,0.0,0.0,0.0,0.0054,0.064,1.329,1.2986,0.0054,0.064,0.0567,0.029,68.7273,116.0,0.0466,0.1493,0.2175,0.0376,0.0062,0.0,0.9745,0.985,112.35097,0.003,8.3048,105.3862,8.832,8.809,8.9838,9.0079,0.0025,0.0403,119.2832,10.185,2.5293,5.6516,1.8022,0.0109,0.0019,9.0398,0.8616,0.1844,3.3244,0.2296,0.141,1.35,1.2853,2.6604,33.0,9.372,0.0008,0.0746,1176511488.0,3716.7,1.6878,0.0746,0.064,0.0106,0.0054,0.0586,0.1137495203960603,2.8627332234660576,0.7303810526315789,0.377172043010753,0.37643552688172083,0.5534082897566499,0.1137495203960603,0.07073106368418695,0.6218141706260478,0.043018456711873355,2.2205793178931406,2.34340828975665,0.1137495203960603,0.055340828975664995,450.64158177023694,0.48651483349534824,1.9439895889440053,12.185703932274844,2.34340828975665,0.9889313867094972,0.11249047094281615,0.05714964196715116,0.05840869142039531
10249.5,2.0487,1.991,1.9509,1.8917,1.8506,1.7972,1.7345,1.7039,1.6846,8.75,0.0,0.0095,0.0337,0.0206,0.0,0.0,0.0,0.0058,0.0601,1.5389,1.3988,0.0058,0.0601,0.0562,0.0289,67.6364,115.2727,0.0443,0.1498,0.2228,0.0477,0.0038,0.0,0.9745,0.985,107.69124,0.003,8.3394,103.562,8.8439,8.7856,8.9838,9.0081,0.0018,0.0395,115.457,10.0457,2.5427,6.5385,1.5364,0.0111,0.0019,9.0262,0.8796,0.1861,3.3259,0.2375,0.1426,1.35,1.2853,2.6606,33.0,10.851,0.0012,0.0696,1176512000.0,3729.4,1.7043,0.0696,0.0601,0.0095,0.0058,0.0543,0.11433142713072343,2.863676165391094,0.711178947368421,0.38097983870967755,0.3478007741935486,0.5294898607809848,0.11433142713072343,0.0720973522344886,0.6305996001611566,0.042234074896234826,2.2088477708336254,2.319489860780985,0.11433142713072343,0.05294898607809848,450.64158177023694,0.4631183866668441,1.850503335449683,12.185703932274844,2.319489860780985,0.9814723283400424,0.11221313198843101,0.05926414591033253,0.06138244105262495
10250.0,2.217,2.1566,2.1207,2.048,2.0253,2.0237,1.9453,1.9254,1.892,8.75,0.0031,0.0109,0.0258,0.0246,0.0014,0.0,0.0,0.0049,0.0567,1.3389,1.2881,0.0063,0.0567,0.0553,0.0278,66.9091,114.1818,0.0445,0.1469,0.2241,0.0429,0.0026,0.0,0.9745,0.985,101.58853,0.003,8.3703,97.8922,8.832,8.7848,8.9838,8.9772,0.0007,0.0376,108.2456,9.3456,2.4855,6.8293,1.3685,0.0099,0.0024,9.0062,0.8994,0.1789,3.353,0.2385,0.1386,1.35,1.2853,2.6624,33.0,9.9559,0.0013,0.0707,1176512512.0,3713.6,1.7065,0.0707,0.0567,0.014,0.0063,0.0504,0.11180393015878966,2.859416644553536,0.6514968421052632,0.368375,0.33250933333333316,0.4920030877192981,0.11180393015878966,0.06783223550562822,0.6067070755857099,0.043971694653161426,2.2393031672596733,2.282003087719298,0.11180393015878966,0.04920030877192982,450.64158177023694,0.44005884857583294,1.7583632836187413,12.185703932274844,2.282003087719298,0.9074335894385486,0.10145464165732729,0.05225433288539747,0.06260362138685985
10250.5,2.4986,2.4244,2.3901,2.3069,2.3896,2.4844,2.3415,2.3185,2.3102,8.75,0.0113,0.0117,0.019,0.0225,0.007,0.0,0.0,0.0036,0.0521,1.316,1.2278,0.0106,0.0521,0.051,0.0256,64.7273,111.2727,0.0416,0.1416,0.2346,0.0375,0.0029,0.0,0.9745,0.985,88.20854,0.003,8.3438,94.3366,8.8439,8.7746,8.9838,9.0124,-0.0005,0.0362,102.2879,9.0358,2.4971,8.749,1.0328,0.0071,0.0087,9.0036,0.9046,0.1736,3.3742,0.2443,0.1311,1.35,1.2853,2.6662,33.0,7.4515,0.0013,0.0752,1176513024.0,3738.9,1.7191,0.0752,0.0521,0.0231,0.0106,0.0415,0.10275243850541754,2.841926124439474,0.6140694736842106,0.3623897849462365,0.2829903655913978,0.4485299196378042,0.10275243850541754,0.06082210436206714,0.5919285736353629,0.0419303341433504,2.2439828982339285,2.2385299196378043,0.10275243850541754,0.044852991963780425,450.64158177023694,0.4365151096770865,1.7442034038970784,12.185703932274844,2.2385299196378043,0.8545930631912834,0.08781152117271875,0.04295852920893832,0.05789944654163712
10251.0,2.8254,2.7507,2.7225,2.6126,2.9284,2.9318,2.82,2.8123,2.7922,8.75,0.0195,0.0095,0.0113,0.0168,0.0104,0.0003,0.0,0.0029,0.0417,1.2212,1.4563,0.0136,0.0417,0.0435,0.0195,60.7273,106.1818,0.0376,0.1318,0.2516,0.0282,0.0036,0.0,0.9745,0.985,79.99432,0.003,8.3305,88.717,8.8439,8.7856,8.9838,8.9948,-0.0008,0.0344,98.3401,8.2795,2.4067,6.8535,1.2081,0.0033,0.0141,9.0111,0.9063,0.1596,3.3553,0.257,0.1165,1.35,1.2853,2.6766,33.0,5.7323,0.0011,0.0708,1176513536.0,3698.6,1.7485,0.0708,0.0417,0.0291,0.0136,0.0281,0.09441190765924184,2.84240404369922,0.5549157894736843,0.34706182795698953,0.200031225806452,0.37747350764006815,0.09441190765924184,0.054818490451446475,0.580631106928813,0.03959341720779537,2.243783960770905,2.167473507640068,0.09441190765924184,0.037747350764006815,450.64158177023694,0.39981557093674275,1.5975613771417778,12.185703932274844,2.167473507640068,0.7851568021928346,0.07412815150665551,0.0363808007426487,0.05666455689523503
10251.5,3.2956,3.2212,3.2196,3.0714,3.9215,3.8107,3.6402,3.6847,3.5231,8.75,0.007,0.0044,0.0244,0.0134,0.0,0.0035,0.0026,0.0,0.0439,1.2471,1.3867,0.0061,0.0439,0.0464,0.0111,58.3636,102.5455,0.0222,0.1369,0.2704,0.0099,0.0039,0.0,0.9745,0.985,72.69523,0.003,8.3232,89.2273,8.8439,8.7856,8.9872,9.0079,-0.0008,0.0346,98.1737,8.3045,2.3975,7.0408,1.1795,0.002,0.0014,9.0297,0.9049,0.1057,3.3151,0.2604,0.0986,1.35,1.2853,2.691,33.0,7.2752,0.0001,0.0553,1176514048.0,3732.6,1.757,0.0553,0.0439,0.0114,0.0061,0.0378,0.06077478352401993,2.799245846268886,0.5602873684210526,0.253931451612903,0.16982503225806414,0.3650562003395584,0.06077478352401993,0.046793925870260565,0.7699562739168996,0.013980857653759365,1.9738906227187716,2.1550562003395584,0.06077478352401993,0.03650562003395584,450.64158177023694,0.6006705070290835,2.40012663881382,12.185703932274844,2.1550562003395584,1.0,0.06077478352401993,0.02426916349006409,0.02426916349006409
